time,kinetic energy,potential energy, hamiltonian energy
0,7.86895,6584.45,6592.32
0.02,30.0491,6562.27,6592.32
0.04,65.0526,6527.27,6592.32
0.06,111.866,6480.45,6592.32
0.08,169.653,6422.67,6592.32
0.1,237.682,6354.64,6592.32
0.12,315.297,6277.02,6592.32
0.14,401.894,6190.43,6592.32
0.16,496.912,6095.41,6592.32
0.18,599.864,5992.46,6592.32
0.2,710.436,5881.88,6592.32
0.22,828.365,5763.95,6592.32
0.24,952.539,5639.78,6592.32
0.26,1080.92,5511.4,6592.32
0.28,1213.02,5379.3,6592.32
0.3,1350.12,5242.2,6592.32
0.32,1492.99,5099.33,6592.32
0.34,1642.75,4949.57,6592.32
0.36,1800.21,4792.11,6592.32
0.38,1965.9,4626.42,6592.32
0.4,2140.17,4452.15,6592.32
0.42,2323.1,4269.22,6592.32
0.44,2514.67,4077.65,6592.32
0.46,2714.33,3877.99,6592.32
0.48,2920.93,3671.39,6592.32
0.5,3133.63,3458.69,6592.32
0.52,3353.16,3239.16,6592.32
0.54,3580.17,3012.15,6592.32
0.56,3813.53,2778.79,6592.32
0.58,4051.8,2540.52,6592.32
0.6,4293.3,2299.02,6592.32
0.62,4535.88,2056.44,6592.32
0.64,4778.05,1814.27,6592.32
0.66,5018.43,1573.89,6592.32
0.68,5256,1336.32,6592.32
0.7,5489.91,1102.41,6592.32
0.72,5719.61,872.71,6592.32
0.74,5945.87,646.454,6592.32
0.76,6169.86,422.464,6592.32
0.78,6391.59,200.729,6592.32
0.8,6609.67,-17.3536,6592.32
0.82,6823.57,-231.253,6592.32
0.84,7033.13,-440.808,6592.32
0.86,7238.34,-646.025,6592.32
0.88,7439.96,-847.636,6592.32
0.9,7638.7,-1046.38,6592.32
0.92,7834.76,-1242.44,6592.32
0.94,8028.41,-1436.09,6592.32
0.96,8219.48,-1627.16,6592.32
0.98,8408.01,-1815.69,6592.32
1,8592.83,-2000.51,6592.32
1.02,8771.47,-2179.15,6592.32
1.04,8941.93,-2349.61,6592.32
1.06,9103.7,-2511.38,6592.32
1.08,9256.73,-2664.41,6592.32
1.1,9400.61,-2808.29,6592.32
1.12,9535.25,-2942.93,6592.32
1.14,9659.57,-3067.25,6592.32
1.16,9771.95,-3179.63,6592.32
1.18,9871.14,-3278.82,6592.32
1.2,9956.23,-3363.91,6592.32
1.22,10026.5,-3434.17,6592.32
1.24,10081.2,-3488.87,6592.32
1.26,10119.9,-3527.6,6592.32
1.28,10144.3,-3551.97,6592.32
1.3,10156.5,-3564.17,6592.32
1.32,10157.9,-3565.61,6592.32
1.34,10149.2,-3556.89,6592.32
1.36,10130.6,-3538.27,6592.32
1.38,10101.8,-3509.5,6592.32
1.4,10062.9,-3470.6,6592.32
1.42,10015.2,-3422.89,6592.32
1.44,9959.89,-3367.57,6592.32
1.46,9897.61,-3305.29,6592.32
1.48,9828.8,-3236.48,6592.32
1.5,9753.78,-3161.46,6592.32
1.52,9672.89,-3080.57,6592.32
1.54,9585.12,-2992.8,6592.32
1.56,9488.49,-2896.17,6592.32
1.58,9381.48,-2789.16,6592.32
